Nazwa,Długość [m],Głębokość [m],Deniwelacja [m],lokalizacja wejscia,pomiary pod ziemia,meta: data,meta: instrument,meta: osoby
Jaskinia Wielka Śnieżna,23723,808,824,niepotwierdzone,zaimportowane,,,
Jaskinia Śnieżna Studnia,12700,726,763,niepotwierdzone,zaimportowane,,,
Jaskinia Wysoka,11660,300,435,niepotwierdzone,zaimportowane,,,
Jaskinia Miętusia,10540,283,305,niepotwierdzone,in_progress,,,
Jaskinia Bańdzioch Kominiarski,10010,546,562,niepotwierdzone,zaimportowane,,,
Jaskinia Wielka Litworowa,7185,354,370,niepotwierdzone,zaimportowane,,,
Jaskinia Czarna,6500,241.5,303.5,niepotwierdzone,zaimportowane,,,
Ptasia Studnia,6283,352,352,niepotwierdzone,zaimportowane,,,
Jaskinia za Siedmiu Progami,6150,216,222,niepotwierdzone,zaimportowane,,,
Jaskinia Zimna,5335,156,176,niepotwierdzone,zaimportowane,,,
Jaskinia Mała w Mułowej,3863,555,555,,,,,
Jaskinia Kozia,3470,376,389,,,,,
Jaskinia Kasprowa Niżnia,3020,22,47,,,,,
Jaskinie Pawlikowskiego,2404,71.3,76.1,,,,,
Szczelina Chochołowska,2320,60,60,,,,,
Jaskinia Mylna,1630,22.3,46,,,,,
Jaskinia Bystrej,1480,27,53,,,,,
Jaskinia nad Kotlinami,1465,433.5,433.5,niepotwierdzone,zaimportowane,,,
Jaskinia Naciekowa,1210,62,97,,,,,
Jaskinia Magurska,1200,58.2,59,,,,,
Jaskinia Siwy Kocioł,1161,295.4,295.4,,,,,
Jaskinia Psia,1076,57.2,62,,,,,
Studnia w Kazalnicy,840,199,235,,,,,
Jaskinia Miętusia Wyżnia,810,108,145,,,,,
Jaskinia Mroźna,773,17,41.5,,,,,
Jaskinia nad Dachem,750,140,163,niepotwierdzone,zaimportowane,,,
Jaskinia Marmurowa,681,126,150.5,,,,,
Jaskinia Goryczkowa,605,28,31,,,,,
Jaskinia Harda,578,126.3,126.3,,,,,
Jaskinia Raptawicka,560,22.4,27.2,,,,,
Jaskinia pod Wantą,520,158,172,,,,,
Jaskinia Poszukiwaczy Skarbów,484,16.25,30.7,,,,,
Jaskinia Lodowa Litworowa,460,150,150,niepotwierdzone,zaimportowane,,,
Jaskinia Wodna pod Pisaną,450,0,0,,,,,
Kamienne Mleko,430,15.8,30.3,,,,,
Jaskinia Przeziorowa,420,12,17.7,,,,,
Jędrusiowa Dziura,419,52.8,56.6,,,,,
Jaskinia Zośka,416,84,93,,,,,
Jaskinia Kalacka,405,6.5,19,,,,,
Jaskinia Lodowa Mułowa,400,64,69,,,,,
Jaskinia Lodowa w Ciemniaku,390,11,42,,,,,
Jaskinia Lodowa Małołącka,360,16.2,53.4,,,,,
Jaskinia Rybia,358,0,6,,,,,
Jaskinia Zwolińskiego,301.5,19.5,34.2,,,,,
